Data source:,http://insideairbnb.com/get-the-data.html,,,,,,,,,,,,,,,,,,,,
Date:,03/11/2021,,,,,,,,,,,,,,,,,,,,
Description:,"AIRBNB New York, Staten Island data only",,,,,,,,,,,,,,,,,,,,
id,name,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,last_review,review_scores_rating,instant_bookable,reviews_per_month,no_of_pics
6739145,Ranch style house with driveway,25368839,Florence,within an hour,100%,88%,t,Dongan Hills,Staten Island,40.58172,-74.08948,Entire home/apt,$162.00,30,290,82,04/07/2021,4.96,f,1.29,
7144807,"Spacious, Clean , Close to Local Transportation",37360127,Mel,N/A,N/A,N/A,f,Castleton Corners,Staten Island,40.61363,-74.12152,Private room,$45.00,30,0,0,,,f,,
8275676,LOVELY Clean&Safe 2 BR NYC Suburban,43637999,Martha,within an hour,100%,86%,t,Great Kills,Staten Island,40.54615,-74.14654,Private room,$99.00,1,165,103,23/10/2021,5,f,1.44,
8343222,"New Apartment, Close to Ferry",43977828,Mona,within an hour,100%,92%,f,Silver Lake,Staten Island,40.62287,-74.09968,Entire home/apt,$98.00,2,318,232,31/10/2021,4.7,t,3.65,
8589729,Magnolia House Saint George,45201692,Danforth,N/A,N/A,N/A,t,St. George,Staten Island,40.64816,-74.08445,Entire home/apt,$190.00,2,258,154,03/10/2021,4.86,f,2.32,
8664611,Affordable Luxury Minutes to Manhattan,45519775,Ayman,N/A,N/A,N/A,t,West Brighton,Staten Island,40.62872,-74.12154,Entire home/apt,$75.00,3,338,184,28/10/2021,4.87,f,3.01,
8671663,Two bus stops to World Trade Center,45550171,Michael,within a day,100%,90%,t,Concord,Staten Island,40.60494,-74.07337,Entire home/apt,$120.00,1,218,37,29/09/2021,5,f,0.59,
8934409,Cozy room with a desk,14637971,Nadya,within a few hours,100%,76%,t,Tompkinsville,Staten Island,40.63127,-74.08672,Private room,$40.00,5,247,26,13/12/2020,4.81,f,0.41,
9045427,Sunrise Condominium Apartment,47198995,Diana,N/A,N/A,N/A,f,Grymes Hill,Staten Island,40.61223,-74.09318,Entire home/apt,$200.00,30,0,1,01/11/2015,5,f,0.01,
9858717,3rd floor loft with a view,14637971,Nadya,within a few hours,100%,76%,t,Tompkinsville,Staten Island,40.63073,-74.08588,Private room,$42.00,5,62,37,31/05/2021,4.89,f,0.67,
10253159,Newly renovated house 4 bedroom. Minutes from NYC,10721093,Jonathan,within an hour,100%,100%,f,Castleton Corners,Staten Island,40.61066,-74.12276,Entire home/apt,$249.00,30,306,59,03/10/2020,4.97,f,1.31,
10413576,Quiet home free ferry to Manhattan,53627900,Mahmood,within a few hours,100%,77%,f,New Brighton,Staten Island,40.64365,-74.09113,Private room,$50.00,1,309,198,16/10/2021,4.74,f,3.04,
12584072,Historic Gem Close to SI Ferry,80470317,Sergey,within a few hours,100%,94%,f,Stapleton,Staten Island,40.62534,-74.07705,Entire home/apt,$169.00,1,316,164,21/10/2021,4.37,f,2.56,
12704039,Small comfy attick room,14637971,Nadya,within a few hours,100%,76%,t,Tompkinsville,Staten Island,40.6298,-74.08527,Private room,$38.00,5,79,29,13/08/2021,4.72,f,1.29,
12966225,"1 bedroom apt, comforts of home, close to all..",71312760,Don,within a few hours,100%,98%,t,Richmondtown,Staten Island,40.57095,-74.12328,Entire home/apt,$71.00,3,112,142,17/10/2021,4.77,f,3.25,
13222140,"Private appartment,minutes from NY citi. Fantastic loc ation, walking distance to manhattan ferry.",15523,Vadim,a few days or more,43%,0%,f,Tompkinsville,Staten Island,40.63329,-74.08139,Private room,$72.00,2,310,25,03/09/2018,4.84,f,0.38,
13294471,Cozy Bedroom & Private Bath/Full use of Amenities,75032421,Delroy,within an hour,100%,80%,t,Clifton,Staten Island,40.61639,-74.07661,Private room,$135.00,3,305,142,28/07/2021,4.98,t,2.27,
13427412,"Extra clean, private entrance. 8 minutes to Ferry",3156684,Michael And Sandra,N/A,N/A,N/A,t,Tompkinsville,Staten Island,40.63242,-74.09328,Entire home/apt,$106.00,2,322,219,22/10/2021,4.89,t,3.96,
13743786,City Views Close to SI Ferry,80470317,Sergey,within a few hours,100%,94%,f,Clifton,Staten Island,40.62322,-74.07748,Entire home/apt,$145.00,1,323,107,03/10/2021,4.43,f,1.75,
13971842,Close to you,23684948,Victor,N/A,N/A,N/A,f,Stapleton,Staten Island,40.62672,-74.07564,Private room,$96.00,30,88,0,,,f,,
14462592,Cozy Luxurious  Apartment.,79641851,Mia,within an hour,80%,65%,f,Howland Hook,Staten Island,40.63018,-74.17485,Entire home/apt,$95.00,3,177,27,29/08/2021,4.83,f,0.51,
14506086,Cute Lofted Apt.,22847606,Patricia,N/A,N/A,N/A,f,Prince's Bay,Staten Island,40.52198,-74.18037,Entire home/apt,$145.00,30,0,15,07/08/2018,4.92,f,0.34,
14804661,"Cozy 4 beds, Free Ferry to Manhattan.",92493393,Lois,within a few hours,100%,92%,f,West Brighton,,40.63145,-74.11532,Entire home/apt,$150.00,2,10,103,19/07/2020,4.51,t,1.65,
14892623,Cozy Space w/ Separate Entrance,93441980,Tanya,within an hour,100%,100%,t,South Beach,Staten Island,40.59273,-74.08831,Private room,$95.00,1,328,82,19/09/2021,4.84,f,1.35,
15178725,2 BR Tropical Getaway near Ferry,96341353,Tony & Grace,within an hour,100%,94%,t,St. George,Staten Island,40.64371,-74.07887,Entire home/apt,$142.00,1,333,40,12/09/2021,4.98,f,0.8,
15207725,HugeTropical Bedrm near Ferry,96341353,Tony & Grace,within an hour,100%,94%,t,St. George,Staten Island,40.64077,-74.07815,Private room,$100.00,1,348,27,14/10/2021,4.89,f,0.49,
15297194,Cozy Island Bedroom near Ferry,96341353,Tony & Grace,within an hour,100%,94%,t,St. George,Staten Island,40.64196,-74.07806,Private room,$53.00,1,334,81,31/10/2021,4.92,f,1.97,
15532430,Quiet room near beach in residential area.,6051934,Susan,within a day,100%,20%,f,Midland Beach,Staten Island,40.57087,-74.09641,Private room,$80.00,1,276,8,03/11/2019,5,f,0.15,
15797728,"Modern, Ambient 1-Bedroom Apartment",28189446,Michella,within an hour,100%,96%,t,Eltingville,Staten Island,40.5425,-74.14809,Entire home/apt,$86.00,5,313,113,27/10/2021,4.95,f,1.87,
15833574,Delightful studio apartment.,102526590,Edward,N/A,N/A,100%,t,Castleton Corners,Staten Island,40.61883,-74.12949,Entire home/apt,$69.00,2,0,68,13/01/2021,4.94,f,1.65,
15949915,"Quiet, Private  3.5 rooms, Manhattan convenient",103545877,Jon,N/A,N/A,N/A,f,Oakwood,Staten Island,40.56052,-74.1289,Entire home/apt,$100.00,30,0,2,30/01/2017,5,f,0.03,
16097336,Big City Feel - Inexpensive Cost otr 01,104927746,Amardeep,within an hour,100%,98%,f,South Beach,Staten Island,40.59525,-74.08472,Private room,$45.00,4,135,35,23/10/2021,4.74,f,0.76,
16097822,Peaceful Getaway // Queen Sized Bed OTR02,104927746,Amardeep,within an hour,100%,98%,f,South Beach,Staten Island,40.59511,-74.08757,Private room,$45.00,4,173,20,07/08/2021,4.5,f,0.35,
16098175,Writers Paradise 3 NYC,104927746,Amardeep,within an hour,100%,98%,f,Concord,Staten Island,40.59643,-74.08765,Private room,$43.00,4,161,32,01/10/2021,4.47,f,0.92,
16123943,"1 BR 2nd Flr,  A/C, 1/2 mile to Verrazano bridge",104661811,Campo Elias,N/A,N/A,N/A,f,Arrochar,Staten Island,40.59434,-74.0709,Private room,$285.00,30,89,14,13/10/2019,4.92,t,0.27,
16289102,"Comfy private room, great location to Manhattan",92493393,Lois,within a few hours,100%,92%,f,West Brighton,Staten Island,40.63304,-74.11275,Private room,$55.00,2,31,50,21/03/2021,4.56,t,0.98,
16289973,Economy private room great location to Manhattan,92493393,Lois,within a few hours,100%,92%,f,West Brighton,Staten Island,40.63189,-74.11308,Private room,$55.00,2,350,92,30/08/2021,4.61,t,1.64,
16974611,Old charm room,14637971,Nadya,within a few hours,100%,76%,t,Tompkinsville,Staten Island,40.62814,-74.08666,Private room,$48.00,2,149,19,04/10/2021,4.84,f,0.77,
17073870,South Beach Apartment Express to Manhattan,41398005,Mirco,within an hour,100%,100%,f,Arrochar,Staten Island,40.59322,-74.06857,Entire home/apt,$184.00,1,0,85,07/06/2021,4.75,t,2.76,
17257339,Contemporary. Spacious Apartment. Close to Ferry.,115259709,Paul,N/A,N/A,100%,t,St. George,Staten Island,40.6456,-74.08069,Entire home/apt,$150.00,2,1,82,20/12/2020,4.8,t,1.59,
17383677,"@Ferry,HUGE 2Br/3beds. Private,Renovated/Stylish..",117492425,Dine,within a day,93%,17%,f,St. George,Staten Island,40.64397,-74.08063,Entire home/apt,$95.00,30,364,136,20/07/2021,4.8,f,2.45,
17554298,The Sweet Pea Cottage,76840423,Kathleen,within an hour,100%,100%,t,Huguenot,Staten Island,40.53894,-74.16983,Entire home/apt,$180.00,1,245,255,30/10/2021,4.88,t,4.93,
17716523,30 Minutes from Manhattan Apartment in South Beach,41398005,Mirco,within an hour,100%,100%,f,Arrochar,Staten Island,40.59322,-74.06857,Entire home/apt,$151.00,1,121,197,29/10/2021,4.62,t,4.9,
17735156,Private Cozy Large  Comfortable Bedroom.,4204783,Kevin,N/A,N/A,0%,f,West Brighton,Staten Island,40.63125,-74.12226,Private room,$49.00,2,307,55,01/02/2020,4.68,f,1.28,
17764355,"@Ferry,Loft,2Bdrm/4bed.Private,Renovated/Stylish",1715301,Mark,within a day,80%,32%,f,Stapleton,Staten Island,40.63398,-74.07871,Entire home/apt,$119.00,30,308,156,03/05/2021,4.91,f,2.99,
17992512,Charming Suite in Historic Home,74282739,David,N/A,N/A,N/A,t,Stapleton,Staten Island,40.63031,-74.08091,Entire home/apt,$69.00,1,0,359,31/10/2021,4.89,t,6.99,
18066269,"@Ferry,2Bedroom/3beds.Private,Renovated/Stylish...",117492425,Dine,within a day,93%,17%,f,St. George,Staten Island,40.6456,-74.07884,Entire home/apt,$99.00,30,364,146,11/09/2021,4.79,f,2.72,
18431324,Large bedroom apartment  to rest,33500990,Chian-TiLung,within an hour,100%,100%,f,Clifton,Staten Island,40.61784,-74.0804,Private room,$65.00,3,340,11,27/08/2021,4.73,t,7.02,
18606237,Cozy bedroom in historical home.,128338539,Reuben,N/A,N/A,N/A,f,Tompkinsville,Staten Island,40.63216,-74.0805,Private room,$64.00,1,83,58,20/09/2021,4.79,f,1.88,
18629154,The Blurple Mansion - Childlike Charm,38819962,Thomas,within an hour,100%,97%,t,Tompkinsville,Staten Island,40.62775,-74.08408,Entire home/apt,$92.00,1,121,24,09/09/2021,5,f,1.2,
18669496,Med. sized bdrm in Historical house on Staten Isl.,128338539,Reuben,N/A,N/A,N/A,f,Tompkinsville,Staten Island,40.63199,-74.08111,Private room,$59.00,1,85,34,08/08/2021,4.59,f,1.2,
18755777,Nice and fully furnished room in Staten Island,130493959,Ely,N/A,N/A,N/A,f,Port Richmond,Staten Island,40.63752,-74.13386,Private room,$40.00,30,62,71,11/01/2020,4.7,f,1.36,
18828846,"Private Studio Apartment, Staten Island, NYC",131115416,Kat,N/A,N/A,N/A,f,Emerson Hill,Staten Island,40.6067,-74.11728,Entire home/apt,$39.00,30,0,74,29/08/2020,4.53,f,2.42,
18958323,Tranquility,21190402,David,N/A,N/A,N/A,f,Emerson Hill,Staten Island,40.60355,-74.126,Private room,$65.00,30,0,0,,,f,,
,,,,,,,,,,,,,,,,,,,,,
18993379,"Spacious, light 3BD, big yard, close to all",132266502,Sharlene,within a day,100%,0%,f,Castleton Corners,Staten Island,40.61191,-74.13529,Entire home/apt,$185.00,3,317,1,29/07/2018,5,f,0.03,
19192001,Renovated Cozy and Affordable 33 min to Manhattan,41398005,Mirco,within an hour,100%,100%,f,Arrochar,Staten Island,40.59322,-74.06857,Entire home/apt,$71.00,1,16,82,05/10/2019,4.45,t,1.92,
19236716,a beautiful home,134672751,Louis,N/A,N/A,N/A,f,West Brighton,Staten Island,40.62534,-74.10841,Private room,$200.00,30,365,0,,,t,,
19523894,1-Bdrm Newly Renovated Spacious Apartment,137114793,Nick,within an hour,90%,100%,f,Great Kills,Staten Island,40.56071,-74.14591,Entire home/apt,$105.00,14,135,74,23/10/2021,4.81,f,1.47,
19636727,Private Room.pvt bath/ Balcony Han 04,137999892,Simranjeet,within an hour,100%,94%,t,Concord,Staten Island,40.60652,-74.08755,Private room,$48.00,4,169,50,27/09/2021,4.68,f,1.08,
19691525,Small room in Historical home on Staten Island,128338539,Reuben,N/A,N/A,N/A,f,Stapleton,Staten Island,40.63019,-74.08074,Private room,$52.00,1,88,19,09/10/2021,4.79,f,0.5,
19756641,Large bedroom in a Historical home in Staten Isl.,128338539,Reuben,N/A,N/A,N/A,f,Stapleton,Staten Island,40.62997,-74.08074,Private room,$88.00,1,37,7,03/09/2018,4.86,f,0.17,
19878366,"@Ferry,Large Private Rm,Renovated/Stylish,Views...",117492425,Dine,within a day,93%,17%,f,St. George,Staten Island,40.64473,-74.07899,Private room,$49.00,3,364,92,12/07/2021,4.86,f,1.81,
